hour,actual,baseline_prediction,improved_prediction,baseline_residual,improved_residual
2017-11-10 19:00:00,271,375.6175738797398,209.63,-104.61757387973978,61.370000000000005
2017-11-10 20:00:00,177,250.28876813559316,157.24666666666667,-73.28876813559316,19.75333333333333
2017-11-10 21:00:00,139,318.9791474567644,121.24666666666667,-179.9791474567644,17.75333333333333
2017-11-10 22:00:00,111,334.6398082497785,97.06333333333333,-223.63980824977853,13.936666666666667
2017-11-10 23:00:00,88,338.17019303148606,85.08,-250.17019303148606,2.9200000000000017
2017-11-11 00:00:00,50,-117.40977766298019,54.13916666666666,167.4097776629802,-4.139166666666661
2017-11-11 01:00:00,46,-74.5722709070559,35.53666666666667,120.5722709070559,10.463333333333331
2017-11-11 02:00:00,30,-134.44899997641866,17.533333333333335,164.44899997641866,12.466666666666665
2017-11-11 03:00:00,10,-118.86062690207575,13.166666666666666,128.86062690207575,-3.166666666666666
2017-11-11 04:00:00,13,-89.75678636930064,4.666666666666667,102.75678636930064,8.333333333333332
2017-11-11 05:00:00,9,-124.69580596520746,17.496666666666666,133.69580596520746,-8.496666666666666
2017-11-11 06:00:00,31,-158.00961732120655,32.06333333333333,189.00961732120655,-1.0633333333333326
2017-11-11 07:00:00,92,-95.86706153762896,111.31666666666666,187.86706153762896,-19.316666666666663
2017-11-11 08:00:00,141,-60.019714433795286,140.97,201.0197144337953,0.030000000000001137
2017-11-11 09:00:00,284,-88.8059879355362,229.25,372.8059879355362,54.75
2017-11-11 10:00:00,357,-78.45597283771218,275.54,435.4559728377122,81.45999999999998
2017-11-11 11:00:00,466,19.3935949063698,281.0833333333333,446.6064050936302,184.91666666666669
2017-11-11 12:00:00,524,83.5988105850069,440.67333333333335,440.4011894149931,83.32666666666665
2017-11-11 13:00:00,589,76.41399703220014,443.4533333333333,512.5860029677999,145.54666666666668
2017-11-11 14:00:00,604,94.70513632665649,444.19666666666666,509.2948636733435,159.80333333333334
2017-11-11 15:00:00,512,112.70370066907691,447.37333333333333,399.2962993309231,64.62666666666667
2017-11-11 16:00:00,448,167.16640470513562,353.80333333333334,280.8335952948644,94.19666666666666
2017-11-11 17:00:00,354,146.5381125053941,300.8666666666667,207.4618874946059,53.133333333333326
2017-11-11 18:00:00,239,176.65416503815493,234.65,62.34583496184507,4.349999999999994
2017-11-11 19:00:00,225,207.31098781626815,199.11333333333334,17.689012183731847,25.886666666666656
2017-11-11 20:00:00,141,196.15313091215,141.58,-55.153130912150004,-0.5800000000000125
2017-11-11 21:00:00,132,175.5643371347246,112.49666666666667,-43.56433713472461,19.50333333333333
2017-11-11 22:00:00,106,139.05531006324793,121.64333333333333,-33.05531006324793,-15.64333333333333
2017-11-11 23:00:00,91,141.31807169170236,91.74666666666667,-50.31807169170236,-0.7466666666666697
2017-11-12 00:00:00,82,-262.74149155397373,68.61,344.74149155397373,13.39
2017-11-12 01:00:00,59,-245.54027566610395,47.016666666666666,304.540275666104,11.983333333333334
2017-11-12 02:00:00,37,-209.80736675150317,43.54333333333334,246.80736675150317,-6.5433333333333366
2017-11-12 03:00:00,17,-216.032819913538,21.30666666666667,233.032819913538,-4.306666666666668
2017-11-12 04:00:00,13,-198.94727513712195,10.033333333333333,211.94727513712195,2.966666666666667
2017-11-12 05:00:00,4,-142.21015901504006,9.39,146.21015901504006,-5.390000000000001
2017-11-12 06:00:00,35,-148.08076416123475,17.683333333333334,183.08076416123475,17.316666666666666
2017-11-12 07:00:00,74,-100.68448677796778,52.13333333333333,174.68448677796778,21.866666666666667
2017-11-12 08:00:00,140,-3.3167693385036046,104.92333333333333,143.3167693385036,35.07666666666667
2017-11-12 09:00:00,275,20.03028815434766,197.93666666666667,254.96971184565234,77.06333333333333
2017-11-12 10:00:00,359,122.9111822472563,345.17333333333335,236.0888177527437,13.826666666666654
2017-11-12 11:00:00,439,172.9385008250033,366.1666666666667,266.0614991749967,72.83333333333331
2017-11-12 12:00:00,565,141.4615157399403,408.7966666666667,423.5384842600597,156.20333333333332
2017-11-12 13:00:00,523,189.11590789848754,495.83666666666664,333.88409210151246,27.163333333333355
2017-11-12 14:00:00,566,169.4450784627113,481.26,396.5549215372887,84.74000000000001
2017-11-12 15:00:00,542,202.54438207803958,532.78,339.4556179219604,9.220000000000027
2017-11-12 16:00:00,568,220.3009487733325,466.9,347.6990512266675,101.10000000000002
2017-11-12 17:00:00,425,238.0575154686254,422.87666666666667,186.9424845313746,2.123333333333335
2017-11-12 18:00:00,309,329.2479584430424,311.6333333333333,-20.24795844304242,-2.6333333333333258
